12 Chelsea   1.7 Pre-Med
123 James     4 Computer Science
135 Martin    2.4 Geography
222 Alisha    3.4 Photography
324 Jerry     4.1 Chemical Engineering
328 Lewis     2.8 Computer Science
331 Michelle  3.5 Biology
333 Sarah     1.8 Child Education
354 Tyler     3 Finance
443 Linsdsey  3.4 English
444 Trevor    2 Electrical Engineering
456 Terry     3.2 Mechanical Engineering
555 John      3.2 Mathematics
559 Travis    2.5 Sports Medicine
588 Joe       2.9 Psychology
648 Greg      3.1 Information Systems
654 Larry     3.7 Petroleum Engineering
658 Cody      2.9 Physics
666 Kevin     3.8 Biology
688 Bruce     2 Mathematics
777 Keith     2.9 Computer Science
789 Susan     3.1 Supply Chain Management
888 Grace     3.1 Art
895 Taylor    3 Sociology
999 Kayla     3.5 Education
6548 Alex      3.2 Art
